"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"1","0.000000","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"3","0.143912","2.1.1","host","USB","35","0200120000000000","URB_INTERRUPT in"
"5","0.239906","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"9","0.896084","2.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"13","1.064051","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"17","1.272144","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"21","1.488055","2.1.1","host","USB","35","0000130000000000","URB_INTERRUPT in"
"25","1.768086","2.1.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"29","2.016129","2.1.1","host","USB","35","0000130000000000","URB_INTERRUPT in"
"33","2.272282","2.1.1","host","USB","35","0000180000000000","URB_INTERRUPT in"
"37","2.520308","2.1.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"41","2.648213","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"45","2.824249","2.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"49","3.008380","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"53","3.240257","2.1.1","host","USB","35","0000050000000000","URB_INTERRUPT in"
"55","3.328263","2.1.1","host","USB","35","0000051800000000","URB_INTERRUPT in"
"57","3.384415","2.1.1","host","USB","35","0000180000000000","URB_INTERRUPT in"
"61","3.544419","2.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"65","3.680462","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"69","3.896484","2.1.1","host","USB","35","0000180000000000","URB_INTERRUPT in"
"73","4.080480","2.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"77","4.392529","2.1.1","host","USB","35","0000190000000000","URB_INTERRUPT in"
"81","4.664584","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"85","4.992628","2.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"89","5.104629","2.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"93","5.728716","2.1.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"97","5.944716","2.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"101","6.072613","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"105","6.264784","2.1.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"109","6.472659","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"113","6.784726","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"117","7.104874","2.1.1","host","USB","35","00001b0000000000","URB_INTERRUPT in"
"121","7.448912","2.1.1","host","USB","35","0000130000000000","URB_INTERRUPT in"
"125","8.817008","2.1.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"129","9.153154","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"133","9.449177","2.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"137","9.569111","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"141","9.769075","2.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"145","9.897239","2.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"149","10.081116","2.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"153","10.993375","2.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"157","11.297431","2.1.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"159","11.409429","2.1.1","host","USB","35","0000121100000000","URB_INTERRUPT in"
"161","11.441351","2.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"165","11.745324","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"169","12.329557","2.1.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"173","12.481572","2.1.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"177","12.641590","2.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"181","13.401686","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"185","13.633587","2.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"189","13.737712","2.1.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"193","13.897747","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"197","14.009752","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"201","14.377791","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"203","14.649724","2.1.1","host","USB","35","0200140000000000","URB_INTERRUPT in"
"205","14.729841","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"207","14.841868","2.1.1","host","USB","35","02001a0000000000","URB_INTERRUPT in"
"209","14.953759","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"211","15.097894","2.1.1","host","USB","35","0200080000000000","URB_INTERRUPT in"
"213","15.193889","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"215","15.465946","2.1.1","host","USB","35","0200150000000000","URB_INTERRUPT in"
"217","15.545941","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"219","15.745828","2.1.1","host","USB","35","0200170000000000","URB_INTERRUPT in"
"221","15.833995","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"225","17.298178","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"227","17.522206","2.1.1","host","USB","35","02001c0000000000","URB_INTERRUPT in"
"229","17.618218","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"233","19.274324","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"237","19.586443","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"241","19.962411","2.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"245","20.122535","2.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"249","20.370557","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"253","22.002671","2.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"257","22.202718","2.1.1","host","USB","35","00000a0000000000","URB_INTERRUPT in"
"261","22.426824","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"265","22.698862","2.1.1","host","USB","35","0000100000000000","URB_INTERRUPT in"
"269","22.810888","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"273","22.946891","2.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"277","23.082877","2.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"281","23.250827","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"285","23.490961","2.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"289","23.626968","2.1.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"293","23.826899","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"297","23.987000","2.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"301","24.115027","2.1.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"305","24.234902","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"309","24.442931","2.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"313","24.579062","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"317","24.771107","2.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"321","24.922988","2.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"325","25.163170","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"329","25.499184","2.1.1","host","USB","35","00001a0000000000","URB_INTERRUPT in"
"331","25.603075","2.1.1","host","USB","35","00001a0400000000","URB_INTERRUPT in"
"333","25.643221","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"337","25.819253","2.1.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"341","25.939140","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"345","26.123269","2.1.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"349","26.323299","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"353","26.691353","2.1.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"357","26.947396","2.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"361","27.267349","2.1.1","host","USB","35","00000a0000000000","URB_INTERRUPT in"
"365","27.547383","2.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"369","27.691475","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"373","27.891359","2.1.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"377","28.067524","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"381","28.291546","2.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"385","28.451560","2.1.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"389","28.811630","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"393","29.043649","2.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"397","29.227685","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"401","29.427692","2.1.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"405","29.563707","2.1.1","host","USB","35","0000180000000000","URB_INTERRUPT in"
"409","29.779755","2.1.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"413","29.955681","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"417","30.107798","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"421","30.275814","2.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"425","30.379821","2.1.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"429","30.523839","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"433","30.675856","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"437","30.923793","2.1.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"441","31.171934","2.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"445","31.371948","2.1.1","host","USB","35","00000e0000000000","URB_INTERRUPT in"
"449","31.491992","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"453","31.771875","2.1.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"457","32.004036","2.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"461","32.244046","2.1.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"465","32.476056","2.1.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"469","32.619993","2.1.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"473","32.788045","2.1.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"477","32.980145","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"481","33.300218","2.1.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"485","33.492194","2.1.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"489","33.660241","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"493","33.996256","2.1.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"497","34.148152","2.1.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"501","34.284321","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"505","34.436358","2.1.1","host","USB","35","00000a0000000000","URB_INTERRUPT in"
"509","35.092422","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"511","35.708474","2.1.1","host","USB","35","02002f0000000000","URB_INTERRUPT in"
"513","35.820516","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"517","37.052673","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"519","37.372712","2.1.1","host","USB","35","0200140000000000","URB_INTERRUPT in"
"521","37.436690","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"523","37.724758","2.1.1","host","USB","35","02001a0000000000","URB_INTERRUPT in"
"525","37.820755","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"527","38.156729","2.1.1","host","USB","35","0200080000000000","URB_INTERRUPT in"
"529","38.276706","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"533","39.196940","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"535","39.468874","2.1.1","host","USB","35","02002d0000000000","URB_INTERRUPT in"
"537","39.556860","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"541","41.357217","2.1.1","host","USB","35","00000e0000000000","URB_INTERRUPT in"
"545","42.261307","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"549","42.765389","2.1.1","host","USB","35","00001c0000000000","URB_INTERRUPT in"
"553","45.405630","2.1.1","host","USB","35","0000050000000000","URB_INTERRUPT in"
"557","46.845837","2.1.1","host","USB","35","0000270000000000","URB_INTERRUPT in"
"561","48.374097","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"565","48.686123","2.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
